Track_num,Section_id,Curve_degree,Curve_direction,Cant,Max_speed,length,Section,Track_id,Start_loc,End_loc,Track_segment
2,391,0.53,1,7,,1746.022,CNBY,CNBY_2,34162.104,35908.126,15
1,392,0.53,1,7,,1746.021,CNBY,CNBY_1,34166.906,35912.927,15
2,393,0.39,1,7,,2991.515,CNBY,CNBY_2,29700.739,32692.254,13
1,394,0.39,1,7,,2991.417,CNBY,CNBY_1,29702.617,32694.034,13
2,395,0.78,1,7,,471.171,CNBY,CNBY_2,28841.207,29312.378,11
1,396,0.78,1,7,,471.171,CNBY,CNBY_1,28845.701,29316.872,11
2,397,0,,,,388.361,CNBY,CNBY_2,29312.378,29700.739,12
1,398,0,,,,385.745,CNBY,CNBY_1,29316.872,29702.617,12
1,399,0,,,,739.955,CNBY,CNBY_1,28105.746,28845.701,10
2,400,0,,,,740.431,CNBY,CNBY_2,28100.776,28841.207,10
2,401,0.47,1,7,,3048.53,CNBY,CNBY_2,25052.246,28100.776,9
1,402,0.47,1,7,,3048.529,CNBY,CNBY_1,25057.217,28105.746,9
1,403,0,,,,975.053,CNBY,CNBY_1,24082.164,25057.217,8
2,404,0,,,,976.894,CNBY,CNBY_2,24075.352,25052.246,8
1,405,0.32,1,7,,1729.186,CNBY,CNBY_1,18080.9,19810.086,5
2,406,0.32,1,7,,1729.186,CNBY,CNBY_2,18074.572,19803.758,5
1,407,0,,,,1165.301,CNBY,CNBY_1,19810.086,20975.387,6
2,408,0,,,,1164.817,CNBY,CNBY_2,19803.758,20968.575,6
1,409,0.34,1,7,,3106.777,CNBY,CNBY_1,20975.387,24082.164,7
2,410,0.34,1,7,,3106.777,CNBY,CNBY_2,20968.575,24075.352,7
1,411,0,,,,537.609,CNBY,CNBY_1,17543.291,18080.9,4
2,412,0,,,,535.998,CNBY,CNBY_2,17538.574,18074.572,4
1,413,0,,,,11245.21,CNBY,CNBY_1,3084.319,14329.529,2
2,414,0,,,,11243.682,CNBY,CNBY_2,3081.128,14324.81,2
1,415,0.42,1,7,,3213.762,CNBY,CNBY_1,14329.529,17543.291,3
2,416,0.42,1,7,,3213.764,CNBY,CNBY_2,14324.81,17538.574,3
2,417,0.35,1,7,,2720.654,CNBY,CNBY_2,360.474,3081.128,1
1,418,0.35,1,7,,2720.652,CNBY,CNBY_1,363.667,3084.319,1
2,419,0,,,,360.474,CNBY,CNBY_2,0,360.474,0
1,420,0,,,,363.667,CNBY,CNBY_1,0,363.667,0
